userid,Agreeableness,Altruism,Cooperation,Modesty,Morality,Sympathy,Trust,Conscientiousness,Achievement striving,Cautiousness,Dutifulness,Orderliness,Self-discipline,Self-efficacy,Extraversion,Activity level,Assertiveness,Cheerfulness,Excitement-seeking,Friendliness,Gregariousness,Neuroticism,Anger,Anxiety,Depression,Immoderation,Self-consciousness,Vulnerability,Openness,Adventurousness,Artistic interests,Emotionality,Imagination,Intellect,Liberalism,Liberty,Ideal,Love,Practicality,Self-expression,Stability,Structure,Challenge,Closeness,Curiosity,Excitement,Harmony,Conservation,Hedonism,Openness to change,Self-enhancement,Self-transcendence
Justin Bieber ,0.1457052517,0.0465780323,0.2293966577,0.0103580623,0.038819853,0.2311595018,0.3694636886,0.053760243,0.2002320164,0.2941436774,0.0235820327,0.4002641538,0.1968001069,0.5611056308,0.6183832633,0.6448282596,0.2363618033,0.0672560377,0.728127635,0.1707560295,0.0978060384,0.2629191046,0.9596323978,0.9507217597,0.7939546103,0.0271845068,0.8458290139,0.82855919,0.8721301307,0.4534441974,0.8556254959,0.2341894729,0.9482208657,0.9026589843,0.9069118788,0.6842090436,0.6941266251,0.3646336801,0.921825819,0.697509987,0.0348834972,0.0010755023,0.2786752237,0.1522282363,0.977496304,0.2268361052,0.3052762281,0.0371407407,0.5891952032,0.576946036,0.2971885284,0.2376011619
Lady Gaga ,0.1452137936,0.0515015839,0.2515669651,0.007100844,0.0464592,0.271801614,0.3100658341,0.0291787967,0.1699961184,0.2831924653,0.0287613262,0.4308984807,0.156323706,0.448637954,0.5840380947,0.5940021561,0.1973468207,0.0761779285,0.7070329195,0.0755717932,0.0272618818,0.2096198419,0.9824429233,0.9623782862,0.8186281291,0.0484534038,0.901864602,0.8919152336,0.8583412652,0.4196322621,0.9572518913,0.3744702154,0.9869100157,0.9285541148,0.93101915,0.6977793238,0.8583322377,0.410721765,0.7639814281,0.7800807087,0.0468573323,0.002469892,0.2341079121,0.148662806,0.9775800482,0.2113048175,0.3745330183,0.0270003959,0.6375462046,0.7193687925,0.3117306672,0.3885564729
Katy Perry ,0.0795124659,0.012699035,0.1783948382,0.0098752034,0.0436036627,0.174715734,0.191478366,0.0378669151,0.1258018043,0.333697903,0.0142995137,0.5483883735,0.1758285595,0.4249794452,0.3628754436,0.4955919669,0.1701633792,0.0421895084,0.6834239145,0.0461636433,0.0198236187,0.2190200709,0.9825387807,0.9411875242,0.8090991828,0.0301064596,0.9397354854,0.8795982727,0.7558864553,0.4064713504,0.8792628454,0.139840263,0.9688690673,0.9005623692,0.8493469974,0.6944287282,0.8503167876,0.2325270658,0.8594329177,0.6971547926,0.0519093401,0.006116843,0.2324133815,0.109888725,0.9776038635,0.2481231551,0.2835737032,0.0420788548,0.6753443861,0.640883155,0.2998234251,0.268266017
Rihanna ,0.1314373574,0.0274516763,0.1690889223,0.0061025302,0.0287755927,0.2033044085,0.2452543729,0.0424776865,0.1394669134,0.278525104,0.0119898022,0.4676010653,0.1817909071,0.496219105,0.6206146627,0.6046910776,0.2189950034,0.0654308404,0.7482321688,0.1251041203,0.0656763886,0.2557025857,0.9757909796,0.9508966027,0.7905608958,0.0222439813,0.8631283976,0.8589116235,0.8716503876,0.4533232674,0.8874101852,0.2147993424,0.965634136,0.9088250141,0.8900455296,0.7651333386,0.807793604,0.3886502069,0.9211740779,0.7582329778,0.0427826232,0.0013598099,0.3031704115,0.1491321942,0.9861024846,0.2559153381,0.3289559389,0.0326220389,0.6497678227,0.6479635079,0.3491716172,0.2923230228
Taylor Swift ,0.1674066099,0.0720596184,0.1924482495,0.0040612713,0.0146752216,0.2369824896,0.4137492416,0.0297487455,0.169448491,0.1723820654,0.0465831708,0.3236562628,0.1387120259,0.6012541311,0.7030366754,0.6460281219,0.2567592458,0.0946799741,0.8009022503,0.1392451178,0.0917283428,0.2176809635,0.9842031086,0.9745442208,0.8551622909,0.0542907689,0.879129478,0.8911612994,0.8373653191,0.3315015474,0.9146844232,0.3394723892,0.981568355,0.896687568,0.9301930785,0.7313776106,0.8592076201,0.5025910169,0.8000197119,0.7283972879,0.0236511834,0.0018315662,0.331335485,0.1772633111,0.9654603098,0.3021891424,0.3462736876,0.0224635364,0.6880033761,0.7925136655,0.4449297563,0.3760182669
Britney Spears ,0.174413318,0.0547437605,0.2276392858,0.0089871191,0.044719658,0.2464893421,0.3315382114,0.0425752384,0.1827000534,0.2403649048,0.0316754373,0.4142879957,0.1718848724,0.5196774894,0.6286218614,0.6319560094,0.2132385951,0.095632036,0.7188363392,0.1296103723,0.0669916949,0.2175815994,0.9819194347,0.9596531474,0.8083383078,0.0405696864,0.8681538467,0.8824083864,0.787571412,0.3951949962,0.8791858971,0.2991620954,0.9705458587,0.8791383213,0.865570996,0.7351843934,0.8543903913,0.3797274007,0.8666769858,0.7320246539,0.0412709586,0.0017693567,0.3151469733,0.1923521772,0.9749428841,0.2647210077,0.3673801997,0.0429250892,0.6778883689,0.685016532,0.3677064561,0.334137971
Shakira ,0.1144330525,0.0356404341,0.1448375276,0.0278966161,0.0804191748,0.3124068742,0.2336393202,0.160122737,0.0814740841,0.2565914711,0.0061539396,0.5701988925,0.432255347,0.4375537656,0.3274832104,0.6168550503,0.2248994184,0.1389390531,0.9555615113,0.1254759652,0.2270640683,0.189824397,0.9231414323,0.9058033954,0.6991404572,0.0809640166,0.8617756276,0.8357362764,0.4081523256,0.4799904781,0.8601696456,0.1678914683,0.9483524289,0.8901883455,0.8027818266,0.6977679145,0.8556160537,0.3313520581,0.8313181696,0.777146116,0.0921799832,0.0038095813,0.141915949,0.1974383091,0.8676774689,0.4486350464,0.2450617112,0.1411052902,0.6943425272,0.380758442,0.2011365712,0.1214304252
Justin Timberlake ,0.1279308743,0.0284810734,0.2024044304,0.0061447289,0.033547145,0.1825188141,0.3164516386,0.036962414,0.1766795639,0.2542645462,0.0297097528,0.4974715842,0.2007280883,0.5329441259,0.5594099517,0.6139862525,0.2433124904,0.0828600797,0.713906609,0.1294736123,0.0741553246,0.3122017655,0.9758385985,0.9289179876,0.7749632183,0.0326610164,0.8616771612,0.8219322801,0.778895177,0.4003350795,0.8490124036,0.1851906836,0.9578245992,0.8891176292,0.8522369956,0.7218950351,0.843018366,0.3430854595,0.8771318419,0.6751390678,0.0353434063,0.0045445616,0.3193326491,0.1338862489,0.9672831616,0.2579320254,0.3234882102,0.0356960077,0.6288695368,0.6309154022,0.3349539314,0.2257617706
Jennifer Lopez ,0.1299499596,0.0479533522,0.190862722,0.0097634682,0.0366548781,0.23288092,0.3149353488,0.0512874907,0.2191766113,0.2998747583,0.0217921221,0.3788382416,0.1965862376,0.634319855,0.6052715865,0.603468108,0.2593608271,0.0524645586,0.7746608196,0.1341115996,0.0659489012,0.1980339538,0.975115808,0.967896119,0.814753428,0.0290417147,0.8855306705,0.8489084329,0.8756215232,0.4032741428,0.8405069012,0.254886866,0.9623360746,0.9095412088,0.9089254424,0.6174259217,0.6952394201,0.3405215531,0.9147352737,0.7001925896,0.0351141415,0.0009772603,0.275730595,0.1435397641,0.9732154367,0.2232347917,0.3034718887,0.0379301778,0.608230223,0.5743860674,0.324593795,0.2441371004
Nicki Minaj ,0.1294274688,0.0043646718,0.2101661463,0.0968386081,0.1621164345,0.2487949494,0.0917913217,0.1280146784,0.0965489706,0.5149276221,0.0041584,0.7719346697,0.2225768437,0.1233558779,0.1437630661,0.2988082618,0.1314733242,0.0431206589,0.4565003768,0.0285266189,0.0099362771,0.2448048523,0.9602003569,0.8645917546,0.7698183954,0.0484737422,0.9644432271,0.864723457,0.5353630276,0.2983564347,0.7934054619,0.0746115945,0.8731631826,0.8501729045,0.7093515187,0.6505618934,0.7947986436,0.1411470131,0.8630504383,0.6244985729,0.2788242105,0.072767517,0.1655676082,0.1844748517,0.9800384471,0.2673300234,0.2008331177,0.159723361,0.7557508757,0.5016577492,0.2094373221,0.208590004
